CGPA_Class,Gender,V1-1_(1),Time_Day_Watched_(V1-1),Student_Rating_(V1-1),V1-2_(1),Time_Day_Watched_(V1-2),Student_Rating_(V1-2),V1-3_(1),Time_Day_Watched_(V1-3),Student_Rating_(V1-3),V1-4_(1),Time_Day_Watched_(V1-4),Student_Rating_(V1-4),Overall_Rating_V1,Watch_Status_V1,V1_PercentWatched,V2-1_(2),Time_Day_Watched_(V2-1),Student_Rating_(V2-1),V2-2_(2),Time_Day_Watched_(V2-2),Student_Rating_(V2-2),V2-3_(2),Time_Day_Watched_(V2-3),Student_Rating_(V2-3),V2-4_(2),Time_Day_Watched_(V2-4),Student_Rating_(V2-4),Overall_Rating_V2,Watch_Status_V2,V2_PercentWatched,V3-1_(3),Time_Day_Watched_(V3-1),Student_Rating_(V3-1),V3-2_(3),Time_Day_Watched_(V3-2),Student_Rating_(V3-2),V3-3_(3),Time_Day_Watched_(V3-3),Student_Rating_(V3-3),V3-4_(3),Time_Day_Watched_(V3-4),Student_Rating_(V3-4),Overall_Rating_V3,Watch_Status_V3,V3_PercentWatched,A/R_Score,Active,Reflective,S/I_Score,Sensing,Intuitive,Vi/Vb_Score,Visual,Verbal,S/G_Score,Sequential,Global,Quiz,part_day_V1-1,part_day_V1-2,part_day_V1-3,part_day_V1-4,part_day_V2-1,part_day_V2-2,part_day_V2-3,part_day_V2-4,part_day_V3-1,part_day_V3-2,part_day_V3-3,part_day_V3-4
2.67 - 3.32,Male,6,2021-02-02 22:58:00,Excellent,50.0,2021-02-02 23:03:00,Satisfactory,22.0,2021-02-02 23:05:00,Very Good,5,2021-02-02 23:06:00,Very Good,Very Good,Completed,100.0,13,2021-02-02 23:11:00,Very Good,35.0,2021-02-02 23:19:00,Satisfactory,12.0,2021-02-02 23:20:00,Very Good,7.0,2021-02-02 23:21:00,Very Good,Very Good,Completed,100.0,9.0,2021-02-02 23:40:00,Excellent,4.0,2021-02-02 23:52:00,Very Good,13.0,2021-02-02 23:55:00,Very Good,5.0,2021-02-02 23:56:00,Very Good,Very Good,Completed,100.0,3,1,0,3,1,0,7,1,0,1,1,0,10,night,night,night,night,night,night,night,night,night,night,night,night
2.67 - 3.32,Male,6,2021-02-03 00:07:00,Very Good,50.0,2021-02-03 19:07:00,Very Good,22.0,2021-02-03 19:09:00,Very Good,5,2021-02-03 19:10:00,Very Good,Very Good,Completed,100.0,13,2021-02-03 19:12:00,Very Good,35.0,2021-02-03 19:19:00,Very Good,12.0,2021-02-03 19:20:00,Very Good,7.0,2021-02-03 19:13:00,Very Good,Very Good,Completed,100.0,10.0,2021-02-03 19:32:00,Very Good,4.0,2021-02-03 19:23:00,Very Good,13.0,2021-02-03 19:34:00,Very Good,5.0,2021-02-03 19:24:00,Very Good,Very Good,Rewatched,103.2258065,3,0,1,9,1,0,7,1,0,3,0,1,8,midnight,night,night,night,night,night,night,night,night,night,night,night
2.67 - 3.32,Male,6,2021-02-01 21:48:00,Excellent,50.0,2021-02-01 23:45:00,Satisfactory,22.0,2021-02-01 18:39:00,Very Good,5,2021-02-01 18:22:00,Satisfactory,Very Good,Completed,100.0,13,2021-02-01 23:29:00,Very Good,35.0,2021-02-02 19:04:00,Satisfactory,12.0,2021-02-01 18:28:00,Very Good,7.0,2021-02-01 18:23:00,Excellent,Very Good,Completed,100.0,9.0,2021-02-02 20:33:00,Excellent,4.0,2021-02-02 21:10:00,Very Good,13.0,2021-02-01 18:29:00,Very Good,5.0,2021-02-01 18:17:00,Very Good,Very Good,Completed,100.0,1,0,1,7,1,0,7,1,0,3,0,1,6,night,night,afternoon,afternoon,night,night,afternoon,afternoon,night,night,afternoon,afternoon
3.67 - 4.00,Male,6,2021-01-31 00:08:00,Excellent,50.0,2021-01-31 00:32:00,Very Good,22.0,2021-01-31 00:42:00,Excellent,5,2021-01-30 15:24:00,Excellent,Excellent,Completed,100.0,15,2021-01-31 00:48:00,Excellent,60.0,2021-01-31 01:16:00,Excellent,12.0,2021-01-31 00:51:00,Very Good,7.0,2021-01-31 00:50:00,Excellent,Excellent,Rewatched,140.2985075,9.0,2021-01-31 01:21:00,Excellent,4.0,2021-01-31 00:14:00,Excellent,13.0,2021-01-31 00:17:00,Very Good,5.0,2021-01-31 00:15:00,Excellent,Excellent,Completed,100.0,3,0,1,3,1,0,7,1,0,1,1,0,5,midnight,midnight,midnight,afternoon,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight
2.67 - 3.32,Male,6,2021-02-03 17:00:00,Very Good,50.0,2021-02-03 16:38:00,Very Good,22.0,2021-01-29 13:40:00,Satisfactory,5,2021-01-29 14:21:00,Very Good,Very Good,Completed,100.0,13,2021-02-03 15:27:00,Excellent,35.0,2021-02-03 17:40:00,Very Good,12.0,2021-01-29 14:02:00,Very Good,7.0,2021-01-29 14:45:00,Satisfactory,Very Good,Completed,100.0,9.0,2021-02-03 14:49:00,Very Good,4.0,2021-02-03 14:22:00,Very Good,13.0,2021-01-29 15:18:00,Excellent,5.0,2021-01-29 14:58:00,Very Good,Very Good,Completed,100.0,3,1,0,1,1,0,5,1,0,3,0,1,8,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
3.33 - 3.66,Female,6,2021-02-01 14:00:00,Excellent,50.0,2021-01-31 17:38:00,Fair,22.0,2021-01-31 16:31:00,Fair,5,2021-01-31 16:39:00,Fair,Satisfactory,Completed,100.0,13,2021-02-01 13:37:00,Satisfactory,35.0,2021-02-01 12:54:00,Fair,12.0,2021-02-01 13:07:00,Fair,7.0,2021-02-01 13:18:00,Fair,Fair,Completed,100.0,10.0,2021-02-07 13:15:00,Excellent,4.0,2021-02-07 13:17:00,Satisfactory,13.0,2021-02-01 14:13:00,Satisfactory,5.0,2021-02-01 14:43:00,Satisfactory,Very Good,Rewatched,103.2258065,3,0,1,3,1,0,3,1,0,5,0,1,8,afternoon,afternoon,afternoon,afternoon,afternoon,morning,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
3.67 - 4.00,Male,6,2021-02-03 10:36:00,Excellent,50.0,2021-02-03 12:21:00,Very Good,22.0,2021-02-03 10:31:00,Excellent,5,2021-02-03 09:59:00,Very Good,Very Good,Completed,100.0,13,2021-02-03 10:43:00,Satisfactory,35.0,2021-02-03 12:13:00,Excellent,12.0,2021-02-03 10:25:00,Very Good,7.0,2021-02-03 10:19:00,Satisfactory,Very Good,Completed,100.0,9.0,2021-02-03 10:39:00,Excellent,4.0,2021-02-03 10:30:00,Very Good,13.0,2021-02-03 10:27:00,Excellent,5.0,2021-02-03 10:19:00,Very Good,Very Good,Completed,100.0,7,0,1,1,0,1,7,1,0,7,0,1,2,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning
2.67 - 3.32,Male,6,2021-02-01 19:05:00,Very Good,50.0,2021-02-01 20:02:00,Very Good,22.0,2021-02-01 20:37:00,Very Good,5,2021-02-01 20:48:00,Very Good,Very Good,Completed,100.0,13,2021-02-01 21:12:00,Very Good,35.0,2021-02-01 21:51:00,Excellent,12.0,2021-02-01 22:03:00,Very Good,7.0,2021-02-01 22:14:00,Very Good,Very Good,Completed,100.0,9.0,2021-02-01 22:28:00,Excellent,4.0,2021-02-01 22:34:00,Very Good,13.0,2021-02-01 22:47:00,Excellent,5.0,2021-02-01 22:53:00,Very Good,Very Good,Completed,100.0,1,0,1,1,0,1,11,1,0,1,1,0,9,night,night,night,night,night,night,night,night,night,night,night,night
3.33 - 3.66,Male,6,2021-02-02 16:53:00,Satisfactory,50.0,2021-02-02 16:34:00,Very Good,22.0,2021-02-02 15:17:00,Very Good,5,2021-02-02 20:34:00,Very Good,Very Good,Completed,100.0,13,2021-02-02 17:26:00,Satisfactory,35.0,2021-02-02 18:16:00,Very Good,12.0,2021-02-02 20:27:00,Very Good,7.0,2021-02-02 15:28:00,Satisfactory,Very Good,Completed,100.0,8.0,2021-02-02 20:46:00,Satisfactory,4.0,2021-02-02 20:51:00,Very Good,13.0,2021-02-02 17:39:00,Very Good,5.0,2021-02-02 15:33:00,Very Good,Very Good,Half Watched,96.77419355,3,0,1,7,1,0,9,1,0,3,1,0,7,afternoon,afternoon,afternoon,night,afternoon,afternoon,night,afternoon,night,night,afternoon,afternoon
3.67 - 4.00,Male,6,2021-02-01 11:49:00,Excellent,50.0,2021-02-01 13:00:00,Excellent,22.0,2021-02-01 11:44:00,Excellent,5,2021-02-01 11:38:00,Very Good,Excellent,Completed,100.0,13,2021-02-01 13:25:00,Excellent,60.0,2021-02-01 13:37:00,Very Good,12.0,2021-01-31 14:43:00,Excellent,7.0,2021-01-31 14:31:00,Excellent,Excellent,Rewatched,137.3134328,15.0,2021-02-01 13:30:00,Excellent,5.0,2021-01-31 12:10:00,Excellent,13.0,2021-01-31 14:11:00,Very Good,5.0,2021-01-31 11:59:00,Excellent,Excellent,Rewatched,122.5806452,3,0,1,5,1,0,3,1,0,5,1,0,8,morning,afternoon,morning,morning,afternoon,afternoon,afternoon,afternoon,afternoon,morning,afternoon,morning
3.67 - 4.00,Male,6,2021-02-01 11:19:00,Excellent,50.0,2021-02-01 12:11:00,Excellent,22.0,2021-01-30 21:58:00,Excellent,5,2021-01-30 21:42:00,Excellent,Excellent,Completed,100.0,13,2021-02-01 11:36:00,Excellent,60.0,2021-02-01 21:18:00,Excellent,12.0,2021-01-30 21:27:00,Excellent,7.0,2021-01-30 21:22:00,Excellent,Excellent,Rewatched,137.3134328,19.0,2021-02-01 11:48:00,Excellent,4.0,2021-02-01 11:08:00,Excellent,17.0,2021-01-30 21:16:00,Excellent,5.0,2021-01-30 21:07:00,Excellent,Excellent,Rewatched,145.1612903,5,0,1,9,1,0,1,1,0,3,0,1,6,morning,morning,night,night,morning,night,night,night,morning,morning,night,night
3.67 - 4.00,Male,6,2021-02-04 14:12:00,Very Good,50.0,2021-02-03 23:56:00,Satisfactory,22.0,2021-02-03 22:33:00,Very Good,5,2021-02-03 22:09:00,Very Good,Very Good,Completed,100.0,15,2021-02-03 22:25:00,Very Good,35.0,2021-02-03 23:06:00,Satisfactory,12.0,2021-02-03 22:42:00,Very Good,7.0,2021-02-03 22:20:00,Very Good,Very Good,Rewatched,102.9850746,9.0,2021-02-01 12:37:00,Poor (never watch it),4.0,2021-02-03 22:16:00,Satisfactory,13.0,2021-02-03 22:18:00,Satisfactory,5.0,2021-02-03 22:17:00,Satisfactory,Fair,Half Watched,70.96774194,5,0,1,3,1,0,7,1,0,1,1,0,9,afternoon,night,night,night,night,night,night,night,morning,night,night,night
3.67 - 4.00,Male,6,2021-02-03 21:18:00,Excellent,50.0,2021-02-03 23:22:00,Excellent,25.0,2021-02-03 20:17:00,Excellent,5,2021-02-03 20:22:00,Excellent,Excellent,Rewatched,103.6144578,15,2021-02-03 21:50:00,Excellent,35.0,2021-02-03 22:28:00,Excellent,12.0,2021-02-03 20:42:00,Excellent,7.0,2021-02-03 20:30:00,Excellent,Excellent,Rewatched,102.9850746,9.0,2021-02-03 21:31:00,Excellent,4.0,2021-02-03 21:11:00,Excellent,13.0,2021-02-03 20:56:00,Excellent,5.0,2021-02-03 21:06:00,Excellent,Excellent,Completed,100.0,7,0,1,7,1,0,11,1,0,1,1,0,5,night,night,night,night,night,night,night,night,night,night,night,night
3.67 - 4.00,Male,6,2021-01-31 09:55:00,Excellent,50.0,2021-01-31 10:51:00,Excellent,22.0,2021-01-31 11:17:00,Excellent,5,2021-01-31 11:25:00,Excellent,Excellent,Completed,100.0,13,2021-01-31 13:02:00,Excellent,39.0,2021-01-31 22:49:00,Excellent,12.0,2021-01-31 23:02:00,Excellent,7.0,2021-01-31 23:11:00,Excellent,Excellent,Rewatched,105.9701493,16.0,2021-01-31 23:31:00,Excellent,5.0,2021-01-31 23:38:00,Excellent,13.0,2021-01-31 23:53:00,Excellent,5.0,2021-02-01 00:01:00,Excellent,Excellent,Rewatched,125.8064516,7,0,1,1,0,1,3,0,1,5,0,1,5,morning,morning,morning,morning,afternoon,night,night,night,night,night,night,midnight
2.67 - 3.32,Female,1,2021-02-01 22:59:00,Satisfactory,45.0,2021-02-01 23:05:00,Satisfactory,20.0,2021-02-01 23:05:00,Satisfactory,5,2021-02-01 22:59:00,Satisfactory,Satisfactory,Half Watched,85.54216867,13,2021-02-01 22:56:00,Satisfactory,35.0,2021-01-28 22:36:00,Poor (never watch it),10.0,2021-02-01 22:57:00,Satisfactory,7.0,2021-02-01 23:03:00,Satisfactory,Fair,Didnt Watch,44.7761194,9.0,2021-02-01 12:37:00,Poor (never watch it),3.0,2021-02-01 22:55:00,Satisfactory,11.0,2021-02-01 23:05:00,Satisfactory,2.0,2021-02-04 14:39:00,Satisfactory,Fair,Half Watched,51.61290323,1,0,1,1,0,1,1,0,1,3,1,0,5,night,night,night,night,night,night,night,night,morning,night,night,afternoon
3.67 - 4.00,Female,6,2021-01-29 17:20:00,Very Good,50.0,2021-01-29 17:56:00,Satisfactory,22.0,2021-01-29 17:31:00,Fair,5,2021-01-29 17:13:00,Fair,Satisfactory,Completed,100.0,13,2021-01-29 17:36:00,Very Good,35.0,2021-01-29 17:25:00,Satisfactory,12.0,2021-01-29 16:52:00,Fair,7.0,2021-01-29 17:01:00,Fair,Satisfactory,Completed,100.0,9.0,2021-01-29 17:37:00,Very Good,4.0,2021-01-29 16:34:00,Fair,13.0,2021-01-29 16:45:00,Fair,5.0,2021-01-29 16:39:00,Fair,Fair,Completed,100.0,1,0,1,3,1,0,9,1,0,1,1,0,8,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
3.67 - 4.00,Male,10,2021-01-31 14:18:00,Very Good,60.0,2021-01-31 16:14:00,Very Good,22.0,2021-01-29 08:52:00,Satisfactory,5,2021-01-29 09:11:00,Fair,Satisfactory,Rewatched,116.8674699,13,2021-01-29 09:33:00,Very Good,39.0,2021-01-29 10:50:00,Very Good,14.0,2021-01-29 11:04:00,Fair,7.0,2021-01-31 14:28:00,Very Good,Very Good,Rewatched,108.9552239,10.0,2021-01-31 14:48:00,Very Good,9.0,2021-01-31 16:45:00,Very Good,13.0,2021-01-29 11:34:00,Fair,5.0,2021-01-29 11:47:00,Fair,Satisfactory,Rewatched,119.3548387,5,0,1,9,1,0,3,1,0,1,0,1,9,afternoon,afternoon,morning,morning,morning,morning,morning,afternoon,afternoon,afternoon,morning,morning
3.33 - 3.66,Female,4,2021-02-02 16:54:00,Very Good,50.0,2021-02-02 17:50:00,Excellent,22.0,2021-01-29 16:52:00,Satisfactory,5,2021-01-29 16:35:00,Satisfactory,Very Good,Half Watched,97.59036145,15,2021-02-05 04:13:00,Satisfactory,39.0,2021-02-02 20:16:00,Very Good,12.0,2021-01-29 16:41:00,Satisfactory,7.0,2021-01-29 16:36:00,Satisfactory,Satisfactory,Rewatched,108.9552239,20.0,2021-02-03 17:24:00,Very Good,5.0,2021-02-03 17:14:00,Satisfactory,13.0,2021-01-29 16:43:00,Satisfactory,5.0,2021-01-29 16:34:00,Satisfactory,Satisfactory,Rewatched,138.7096774,1,1,0,5,0,1,1,0,1,3,0,1,9,afternoon,afternoon,afternoon,afternoon,midnight,night,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
3.67 - 4.00,Male,6,2021-02-01 14:27:00,Very Good,50.0,2021-02-01 15:20:00,Fair,22.0,2021-02-01 14:53:00,Excellent,5,2021-02-01 15:06:00,Fair,Satisfactory,Completed,100.0,13,2021-02-01 19:51:00,Satisfactory,35.0,2021-02-01 20:32:00,Fair,12.0,2021-02-01 20:54:00,Excellent,7.0,2021-02-01 21:07:00,Satisfactory,Satisfactory,Completed,100.0,27.0,2021-02-01 22:38:00,Very Good,4.0,2021-02-02 19:29:00,Very Good,13.0,2021-02-02 19:35:00,Excellent,5.0,2021-02-02 19:27:00,Very Good,Very Good,Rewatched,158.0645161,3,1,0,5,1,0,7,1,0,1,0,1,6,afternoon,afternoon,afternoon,afternoon,night,night,night,night,night,night,night,night
3.67 - 4.00,Male,6,2021-02-03 02:18:00,Very Good,50.0,2021-02-03 02:05:00,Fair,43.0,2021-02-02 16:55:00,Very Good,5,2021-02-03 02:10:00,Satisfactory,Satisfactory,Rewatched,125.3012048,13,2021-02-03 09:28:00,Satisfactory,35.0,2021-02-03 03:01:00,Fair,15.0,2021-02-02 20:48:00,Very Good,7.0,2021-02-02 22:27:00,Very Good,Satisfactory,Rewatched,104.4776119,13.0,2021-02-02 23:44:00,Very Good,4.0,2021-02-03 09:50:00,Satisfactory,13.0,2021-02-03 00:30:00,Very Good,5.0,2021-02-03 09:37:00,Fair,Satisfactory,Rewatched,112.9032258,5,1,0,9,0,1,9,1,0,1,0,1,10,midnight,midnight,afternoon,midnight,morning,midnight,night,night,night,morning,midnight,morning
2.67 - 3.32,Female,6,2021-01-28 18:19:00,Satisfactory,50.0,2021-01-28 19:07:00,Satisfactory,22.0,2021-01-28 18:35:00,Satisfactory,5,2021-01-28 18:17:00,Satisfactory,Satisfactory,Completed,100.0,13,2021-01-28 18:37:00,Satisfactory,35.0,2021-01-28 19:03:00,Satisfactory,12.0,2021-01-28 18:44:00,Satisfactory,7.0,2021-01-28 19:01:00,Satisfactory,Satisfactory,Completed,100.0,9.0,2021-01-28 19:19:00,Very Good,4.0,2021-01-28 19:10:00,Satisfactory,13.0,2021-01-28 19:24:00,Satisfactory,5.0,2021-01-28 19:16:00,Very Good,Very Good,Completed,100.0,9,1,0,3,0,1,1,1,0,5,0,1,9,afternoon,night,afternoon,afternoon,afternoon,night,afternoon,night,night,night,night,night
2.67 - 3.32,Male,7,2021-02-01 01:20:00,Satisfactory,50.0,2021-01-31 13:35:00,Very Good,22.0,2021-01-31 12:03:00,Satisfactory,5,2021-01-31 12:09:00,Satisfactory,Satisfactory,Rewatched,101.2048193,16,2021-02-01 18:22:00,Very Good,60.0,2021-02-01 18:43:00,Very Good,12.0,2021-01-31 13:47:00,Satisfactory,7.0,2021-01-31 14:05:00,Satisfactory,Very Good,Rewatched,141.7910448,13.0,2021-02-02 13:18:00,Very Good,5.0,2021-02-02 13:25:00,Very Good,13.0,2021-01-31 14:54:00,Satisfactory,7.0,2021-02-02 13:27:00,Very Good,Very Good,Rewatched,122.5806452,3,0,1,3,0,1,9,1,0,3,0,1,9,midnight,afternoon,morning,morning,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
3.33 - 3.66,Male,6,2021-01-31 23:31:00,Excellent,50.0,2021-01-28 22:13:00,Poor (never watch it),22.0,2021-01-28 21:40:00,Excellent,5,2021-01-28 22:00:00,Very Good,Very Good,Didnt Watch,39.75903614,13,2021-01-28 22:58:00,Excellent,35.0,2021-01-28 22:36:00,Poor (never watch it),12.0,2021-01-28 22:22:00,Excellent,7.0,2021-01-28 22:35:00,Excellent,Very Good,Didnt Watch,47.76119403,9.0,2021-01-29 00:15:00,Excellent,4.0,2021-01-29 00:24:00,Excellent,13.0,2021-01-28 23:25:00,Very Good,5.0,2021-01-29 00:29:00,Very Good,Very Good,Completed,100.0,3,1,0,3,0,1,5,1,0,3,0,1,9,night,night,night,night,night,night,night,night,midnight,midnight,night,midnight
2.67 - 3.32,Male,6,2021-02-01 14:20:00,Satisfactory,50.0,2021-02-01 15:03:00,Fair,22.0,2021-02-01 14:10:00,Satisfactory,5,2021-02-01 13:51:00,Satisfactory,Satisfactory,Completed,100.0,13,2021-02-01 14:33:00,Satisfactory,35.0,2021-02-01 15:01:00,Satisfactory,12.0,2021-02-01 13:57:00,Satisfactory,6.0,2021-02-01 13:53:00,Satisfactory,Satisfactory,Half Watched,98.50746269,9.0,2021-02-01 14:23:00,Satisfactory,4.0,2021-02-01 14:17:00,Satisfactory,13.0,2021-02-01 13:59:00,Satisfactory,5.0,2021-02-01 13:52:00,Satisfactory,Satisfactory,Completed,100.0,1,0,1,5,1,0,11,1,0,1,0,1,8,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
3.33 - 3.66,Male,6,2021-01-28 23:50:00,Satisfactory,50.0,2021-01-29 17:39:00,Satisfactory,22.0,2021-01-29 15:47:00,Very Good,5,2021-01-28 23:43:00,Satisfactory,Satisfactory,Completed,100.0,13,2021-01-29 14:06:00,Satisfactory,35.0,2021-01-29 16:45:00,Satisfactory,12.0,2021-01-29 16:08:00,Very Good,7.0,2021-01-28 23:57:00,Very Good,Very Good,Completed,100.0,9.0,2021-01-28 23:37:00,Satisfactory,4.0,2021-01-28 23:09:00,Satisfactory,13.0,2021-01-28 23:25:00,Satisfactory,5.0,2021-01-28 22:53:00,Satisfactory,Satisfactory,Completed,100.0,1,1,0,9,1,0,7,1,0,3,0,1,7,night,afternoon,afternoon,night,afternoon,afternoon,afternoon,night,night,night,night,night
3.67 - 4.00,Male,6,2021-02-03 16:59:00,Very Good,50.0,2021-01-28 22:13:00,Poor (never watch it),22.0,2021-02-03 16:09:00,Very Good,5,2021-02-03 15:52:00,Very Good,Satisfactory,Didnt Watch,39.75903614,13,2021-02-03 17:06:00,Very Good,35.0,2021-01-28 22:36:00,Poor (never watch it),12.0,2021-02-03 16:49:00,Very Good,7.0,2021-02-03 16:50:00,Very Good,Satisfactory,Didnt Watch,47.76119403,9.0,2021-02-03 17:59:00,Excellent,4.0,2021-02-03 16:43:00,Very Good,13.0,2021-02-03 16:23:00,Very Good,10.0,2021-02-03 16:21:00,Very Good,Very Good,Rewatched,116.1290323,5,1,0,7,0,1,9,1,0,3,1,0,4,afternoon,night,afternoon,afternoon,afternoon,night,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
